Produto,Data,Quantidade,Valor
Sabão em Pó,2023-08-01,5,15.00
Vinho,2023-08-02,2,80.00
Acucar,2023-08-04,4,20.00
Filé,2023-08-03,3,25.00
Luvas,2023-08-05,1,10.00
Meias,2023-08-06,10,5.00
Feijão,2023-08-07,3,12.00
Vinho,2023-08-08,1,60.00
Jaqueta,2023-08-09,2,50.00
Picanha,2023-08-10,1,90.00
Caixa de Bombom,2023-08-11,7,8.00
Iogurte,2023-08-12,2,6.00
Carvão,2023-08-13,1,90.00
Queijo MInas,2023-08-14,3,45.00
Cerveja,2023-08-15,1,40.00
Caixa de Leite,2023-08-16,1,30.00
Arroz,2023-08-17,4,18.00
Vinho,2023-08-18,2,80.00
Copo Térmico,2023-08-19,1,150.00
Vassoura,2023-08-20,2,22.00
Sabão em Pó,2023-08-21,3,15.00
Acucar,2023-08-22,2,20.00
Vinho,2023-08-23,4,80.00
Filé,2023-08-24,2,20.00
Feijão,2023-08-25,2,12.00
Arroz,2023-08-26,3,18.00
Meias,2023-08-27,5,5.00
Queijo MInas,2023-08-28,2,45.00
Vinho,2023-08-29,3,80.00
Picanha,2023-08-30,1,90.00
Luvas,2023-08-31,2,10.00
Sabão em Pó,2023-01-15,2,15.00
Vinho,2023-02-10,4,80.00
Acucar,2023-03-05,5,20.00
Filé,2023-04-20,1,20.00
Luvas,2023-05-02,2,10.00
Meias,2023-06-18,8,5.00
Feijão,2023-07-07,4,12.00
Vinho,2023-01-23,2,60.00
Jaqueta,2023-02-14,1,50.00
Picanha,2023-03-10,1,90.00
Caixa de Bombom,2023-04-05,6,8.00
Iogurte,2023-05-08,3,6.00
Carvão,2023-06-12,1,90.00
Queijo MInas,2023-07-29,4,45.00
Cerveja,2023-01-02,1,40.00
Caixa de Leite,2023-02-18,1,30.00
Arroz,2023-03-21,2,18.00
Vinho,2023-04-17,2,80.00
Copo Térmico,2023-05-30,1,150.00
Vassoura,2023-06-08,3,22.00
Sabão em Pó,2023-07-11,3,15.00
Acucar,2023-01-29,2,20.00
Vinho,2023-02-08,5,80.00
Filé,2023-03-16,2,20.00
Feijão,2023-04-23,2,12.00
Arroz,2023-05-15,4,18.00
Meias,2023-06-25,6,5.00
Queijo MInas,2023-07-03,2,45.00
Vinho,2023-01-12,4,80.00
Cesta Básicas,2023-02-20,1,300.00
Luvas,2023-03-30,1,10.00
Vinho,2023-01-12,4,80.00
